x,y,z,type,volume,cycle entry,custom:GFP,custom:sample
708.0143145458235,-35.15900849,0,apCAF,,,,
-126.4170246,306.33605744925626,0,apCAF,,,,
-463.4059543,578.8538013558214,0,apCAF,,,,
659.3066441625235,740.2308002,0,apCAF,,,,
-505.3623817,-485.1994125,0,apCAF,,,,
118.26776480516537,404.5316126155892,0,apCAF,,,,
-329.6549144,251.37074912524417,0,apCAF,,,,
-110.1439814,612.4507887728739,0,apCAF,,,,
-458.9316636,401.8406690736547,0,apCAF,,,,
-587.268971,-552.6163057,0,apCAF,,,,
722.8224653978893,174.8142014943494,0,apCAF,,,,
161.37062970467287,414.53109512644664,0,apCAF,,,,
585.5843447592281,-271.0703666,0,apCAF,,,,
-721.3543885,744.1159494134461,0,apCAF,,,,
650.1988352513604,655.4103489867164,0,apCAF,,,,
213.32653962971654,445.5963664300814,0,apCAF,,,,
-436.0984503,7.338792180340988,0,apCAF,,,,
-181.254951,-184.2436498,0,apCAF,,,,
-74.2859645,-751.2206773,0,apCAF,,,,
51.26486288528065,178.95411463578716,0,apCAF,,,,
28.415726893114652,718.6236381079004,0,apCAF,,,,
617.7482853196291,775.8022076882964,0,apCAF,,,,
-263.543686,220.9264647928252,0,apCAF,,,,
70.38807705015279,763.4302364925384,0,apCAF,,,,
-287.6188732,-293.3622066,0,apCAF,,,,
278.6575535501745,-760.5514046,0,apCAF,,,,
-631.725269,-716.0632611,0,apCAF,,,,
-633.6996891,236.67405747314024,0,apCAF,,,,
-372.773702,197.09011874385476,0,apCAF,,,,
-275.8201208,295.1264464816709,0,apCAF,,,,
-108.3287887,-745.233726,0,apCAF,,,,
-102.0870735,-59.45711408,0,apCAF,,,,
-4.799114695,-305.3998002,0,apCAF,,,,
-319.7191228,436.6477849474352,0,apCAF,,,,
-379.3816403,108.71889591701074,0,apCAF,,,,
-157.4504504,520.7198672043246,0,apCAF,,,,
605.5196188,609.5687723167193,0,apCAF,,,,
