x,y,z,ecm_density,ecm_orientation_x,ecm_orientation_y
-490,-490,0.0,1,0.9843925624259556,0.17598659903657765
-490,-470,0.0,2,0.24104681672640127,0.9705134889047492
-490,-450,0.0,3,-0.7876587984994263,0.6161116921033395
-490,-430,0.0,4,-0.8839056697206111,-0.46766522966301216
-490,-410,0.0,5,0.06624670220315812,-0.9978032744219705
-490,-390,0.0,6,0.9379738513674162,-0.3467060053575308
-490,-370,0.0,7,0.6992939041829684,0.7148342714031982
-490,-350,0.0,8,-0.3672352549023715,0.9301280920157128
-490,-330,0.0,9,-0.9990181441652212,0.044302907677458626
-490,-310,0.0,10,-0.44812751321749233,-0.8939696481970214
-490,-290,0.0,11,0.6332725450670165,-0.773928862147125
-490,-270,0.0,12,0.9649818449790168,0.26231667667323905
-490,-250,0.0,13,0.15431101675603995,0.9880223226768295
-490,-230,0.0,14,-0.8390387292223656,0.5440716964379951
-490,-210,0.0,15,-0.8391043258807425,-0.5439705233633756
-490,-190,0.0,16,0.15419188245846607,-0.9880409219176677
-490,-170,0.0,17,0.9649502084978204,-0.2624330297809573
-490,-150,0.0,18,0.63336585880364,0.773852498155771
-490,-130,0.0,19,-0.4480197174122222,0.8940236757546596
-490,-110,0.0,20,-0.9990234788329058,-0.044182448331873195
-490,-90,0.0,21,-0.3673474046720173,-0.9300838049771285
-490,-70,0.0,22,0.6992077062321952,-0.7149185852567496
-490,-50,0.0,23,0.9380156494621107,0.34659290437655327
-490,-30,0.0,24,0.06636701425925702,0.9977952793125009
-490,-10,0.0,25,-0.883849273431478,0.46777180532247614
-490,10,0.0,26,-0.7877330819276289,-0.6160167137641636
-490,30,0.0,27,0.24092979296818903,-0.970542546651256
-490,50,0.0,28,0.9843713352610934,-0.176105293265966
-490,70,0.0,29,0.5624787751985085,0.8268117243068012
-490,90,0.0,30,-0.525296338642536,0.8509193596391765
-490,110,0.0,31,-0.9912068010710522,-0.13232187086982847
-490,130,0.0,32,-0.2836910914865273,-0.9589157234143065
-490,150,0.0,33,0.7596683100072248,-0.6503107401625525
-490,170,0.0,34,0.903705111970614,0.42815542808445156
-490,190,0.0,35,-0.022096619278683942,0.9997558399011495
-490,210,0.0,36,-0.9217395798793158,0.3878094208292295
-490,230,0.0,37,-0.7301941571456378,-0.6832397038158508
-490,250,0.0,38,0.32578130553514806,-0.9454451549211168
-490,270,0.0,39,0.9960851708717215,-0.08839871248753149
-490,290,0.0,40,0.4871876750070059,0.8732972972139946
-490,310,0.0,41,-0.5984600690578581,0.8011526357338304
-490,330,0.0,42,-0.9756293127952373,-0.21942525837900473
-490,350,0.0,43,-0.19781357400426822,-0.9802396594403116
-490,370,0.0,44,0.8141809705265618,-0.5806111842123143
-490,390,0.0,45,0.8623188722876839,0.5063656411097588
-490,410,0.0,46,-0.11038724383904756,0.9938886539233752
-490,430,0.0,47,-0.9524129804151563,0.3048106211022167
-490,450,0.0,48,-0.6669380616522619,-0.7451131604793488
-490,470,0.0,49,0.40808206181339196,-0.9129452507276277
-490,490,0.0,50,1.0,0.0
-470,-490,0.0,51,0.24104681672640127,0.9705134889047492
-470,-470,0.0,52,-0.7876587984994263,0.6161116921033395
-470,-450,0.0,53,-0.8839056697206111,-0.46766522966301216
-470,-430,0.0,54,0.06624670220315812,-0.9978032744219705
-470,-410,0.0,55,0.9379738513674162,-0.3467060053575308
-470,-390,0.0,56,0.6992939041829684,0.7148342714031982
-470,-370,0.0,57,-0.3672352549023715,0.9301280920157128
-470,-350,0.0,58,-0.9990181441652212,0.044302907677458626
-470,-330,0.0,59,-0.44812751321749233,-0.8939696481970214
-470,-310,0.0,60,0.6332725450670165,-0.773928862147125
-470,-290,0.0,61,0.9649818449790168,0.26231667667323905
-470,-270,0.0,62,0.15431101675603995,0.9880223226768295
-470,-250,0.0,63,-0.8390387292223656,0.5440716964379951
-470,-230,0.0,64,-0.8391043258807425,-0.5439705233633756
-470,-210,0.0,65,0.15419188245846607,-0.9880409219176677
-470,-190,0.0,66,0.9649502084978204,-0.2624330297809573
-470,-170,0.0,67,0.63336585880364,0.773852498155771
-470,-150,0.0,68,-0.4480197174122222,0.8940236757546596
-470,-130,0.0,69,-0.9990234788329058,-0.044182448331873195
